Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BVT,Chrome 71.0.3578.98,,2019-01-22 17:55:41,2019-01-22 17:56:44,1m - 3.114s,PASSED
,,,,,,
Test Cases/TC_SmokeTest,Chrome 71.0.3578.98,,2019-01-22 17:55:41,2019-01-22 17:56:19,38.055s,PASSED
runWithCucumberRunner(common.CucumberPAFrunner),Chrome 71.0.3578.98,,2019-01-22 17:55:42,2019-01-22 17:56:19,37.494s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint1/TC_AddSwiftCode,Chrome 71.0.3578.98,,2019-01-22 17:56:19,2019-01-22 17:56:43,24.291s,PASSED
"runFeatureFile(""Include/features/MakePayment.feature"")",Chrome 71.0.3578.98,,2019-01-22 17:56:19,2019-01-22 17:56:43,23.999s,PASSED
,,,,,,
Test Cases/FunctionalTestCases/FY19/Sprint2/TC_AddCaptchaDetails,Chrome 71.0.3578.98,,2019-01-22 17:56:43,2019-01-22 17:56:44,0.282s,PASSED
return null,Chrome 71.0.3578.98,,2019-01-22 17:56:44,2019-01-22 17:56:44,0.001s,PASSED
